date,close_futures,spot_price
2025-01-02,77800.0,78800.0
2025-01-03,76380.0,78800.0
2025-01-06,77660.0,78800.0
2025-01-07,78820.0,78600.0
2025-01-08,77180.0,78600.0
2025-01-09,78240.0,78600.0
2025-01-10,77920.0,78600.0
2025-01-13,78760.0,78600.0
2025-01-14,79100.0,78600.0
2025-01-15,80260.0,79100.0
2025-01-16,79860.0,79100.0
2025-01-17,80740.0,79100.0
2025-01-20,80720.0,79100.0
2025-01-21,78520.0,79780.0
2025-01-22,79200.0,79780.0
2025-01-23,79580.0,79780.0
2025-01-24,79580.0,79780.0
2025-01-27,79620.0,79490.0
2025-02-05,78120.0,79200.0
2025-02-06,77500.0,79200.0
2025-02-07,77800.0,79200.0
2025-02-10,78600.0,79000.0
2025-02-11,77300.0,79000.0
2025-02-12,77500.0,79000.0
2025-02-13,77300.0,79000.0
2025-02-14,76780.0,79000.0
2025-02-17,77160.0,78100.0
2025-02-18,77060.0,78100.0
2025-02-19,77300.0,78100.0
2025-02-20,77180.0,78100.0
2025-02-21,76620.0,78100.0
2025-02-24,76720.0,78100.0
2025-02-25,76640.0,77460.0
2025-02-26,76000.0,77460.0
2025-02-27,76140.0,77460.0
2025-02-28,75200.0,77460.0
2025-03-03,75400.0,77460.0
2025-03-04,75260.0,77460.0
2025-03-05,75340.0,76700.0
2025-03-06,76800.0,76700.0
2025-03-07,76120.0,76700.0
2025-03-10,75760.0,76700.0
2025-03-11,75960.0,76000.0
2025-03-12,75600.0,76000.0
2025-03-13,75340.0,76000.0
2025-03-14,75540.0,76000.0
2025-03-17,76240.0,76200.0
2025-03-18,75400.0,76200.0
2025-03-19,75200.0,76200.0
2025-03-20,73260.0,76200.0
2025-03-21,73240.0,76200.0
2025-03-24,73720.0,75200.0
2025-03-25,73800.0,75200.0
2025-03-26,74480.0,75200.0
2025-03-27,74380.0,75200.0
2025-03-28,74000.0,75200.0
2025-03-31,74160.0,75200.0
2025-04-01,74360.0,73966.67
2025-04-02,73340.0,74033.33
2025-04-03,73160.0,73900.0
2025-04-07,71060.0,72973.33
2025-04-08,70280.0,71883.33
2025-04-09,69900.0,71366.67
2025-04-10,70540.0,70800.0
2025-04-11,70260.0,70933.33
2025-04-14,70760.0,70800.0
2025-04-15,70720.0,70833.33
2025-04-16,70380.0,70966.67
2025-04-17,70460.0,71133.33
2025-04-18,70180.0,70966.67
2025-04-21,69000.0,69766.67
2025-04-22,67840.0,69433.33
2025-04-23,68980.0,69300.0
2025-04-24,68300.0,69200.0
2025-04-25,68180.0,69200.0
2025-04-28,66960.0,69100.0
2025-04-29,66260.0,68966.67
2025-04-30,65960.0,68933.33
2025-05-06,65260.0,68733.33
2025-05-07,64160.0,68233.33
2025-05-08,64280.0,67733.33
2025-05-09,63020.0,67133.33
2025-05-12,64040.0,66633.33
2025-05-13,63220.0,65633.33
2025-05-14,65200.0,64966.67
2025-05-15,64120.0,64733.33
2025-05-16,61800.0,63733.33
2025-05-19,61180.0,63600.0
2025-05-20,60860.0,63466.67
2025-05-21,61100.0,63266.67
2025-05-22,62140.0,63133.33
2025-05-23,60960.0,62933.33
2025-05-26,60100.0,62533.33
2025-05-27,60920.0,62200.0
2025-05-28,60380.0,61200.0
2025-05-29,58860.0,60200.0
2025-05-30,59800.0,60200.0
2025-06-03,59940.0,59900.0
2025-06-04,61080.0,59900.0
2025-06-05,60100.0,60166.67
2025-06-06,60440.0,60166.67
2025-06-09,60700.0,60166.67
2025-06-10,60760.0,60066.67
2025-06-11,61740.0,60233.33
2025-06-12,60480.0,60633.33
2025-06-13,59800.0,60700.0
2025-06-16,59780.0,60700.0
2025-06-17,59860.0,60366.67
2025-06-18,59880.0,60366.67
2025-06-19,60060.0,60300.0
2025-06-20,58900.0,60066.67
2025-06-23,59120.0,60066.67
2025-06-24,60700.0,59966.67
2025-06-25,60880.0,59900.0
2025-06-26,61500.0,60033.33
2025-06-27,63300.0,60533.33
2025-06-30,62260.0,61466.67
